Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Carbon Monoxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3)
01/01/2018,00:00,119,0.8,31.8,0.4,25.6,84.5,,,,,15.2,7.1
01/01/2018,01:00,166,0.5,55.2,0.5,25.5,84.5,0.005,0.012,0.017,0.2,10.8,3.3
01/01/2018,02:00,226,0.8,27.1,0.4,25.3,84.4,0.010,0.014,0.024,0.2,17.3,9.9
01/01/2018,03:00,225,1.0,25.6,0.5,24.9,84.2,0.007,0.013,0.020,0.2,17.3,11.4
01/01/2018,04:00,217,0.8,24.6,0.3,24.6,84.7,0.005,0.014,0.019,0.2,16.0,9.2
01/01/2018,05:00,224,1.0,21.6,0.4,24.6,84.4,0.008,0.013,0.020,0.2,17.2,9.6
01/01/2018,06:00,210,0.5,52.6,0.4,26.0,80.5,0.007,0.009,0.016,0.1,18.5,10.9
01/01/2018,07:00,242,0.5,93.1,0.7,27.8,75.3,0.005,0.007,0.012,0.1,19.5,11.9
01/01/2018,08:00,66,0.4,135.1,0.6,29.4,68.7,0.002,0.005,0.007,0.1,15.8,9.2
01/01/2018,09:00,72,0.8,59.4,0.6,30.4,64.0,0.002,0.004,0.006,0.1,12.3,7.4
01/01/2018,10:00,262,0.7,64.9,0.8,31.8,59.4,0.003,0.009,0.012,0.1,15.9,11.9
01/01/2018,11:00,221,0.7,87.1,0.7,32.9,55.1,0.004,0.007,0.010,0.1,13.2,9.0
01/01/2018,12:00,64,2.0,32.7,0.9,32.3,59.2,0.002,0.005,0.006,0.1,10.3,6.5
01/01/2018,13:00,58,2.1,28.8,0.8,31.9,60.5,0.001,0.004,0.005,0.1,10.9,7.4
01/01/2018,14:00,68,2.0,31.3,1.0,33.5,55.5,0.001,0.003,0.004,0.1,8.7,5.7
01/01/2018,15:00,68,2.8,26.3,1.2,32.6,57.8,0.001,0.005,0.006,0.1,6.9,3.9
01/01/2018,16:00,54,2.5,28.6,1.1,31.1,62.2,0.001,0.004,0.005,0.1,8.8,5.6
01/01/2018,17:00,40,2.1,34.2,1.1,29.7,66.2,0.001,0.006,0.007,0.1,8.5,5.6
01/01/2018,18:00,53,0.5,138.3,0.6,28.0,67.0,0.002,0.010,0.012,0.1,,
01/01/2018,19:00,159,1.5,63.0,1.2,27.4,70.7,0.005,0.013,0.017,0.2,,
01/01/2018,20:00,175,0.9,73.6,0.8,26.8,71.7,0.009,0.019,0.028,0.2,5.2,3.4
01/01/2018,21:00,179,1.4,36.2,0.7,26.0,74.1,0.005,0.015,0.020,0.1,5.9,4.1
01/01/2018,22:00,210,1.0,43.0,0.6,25.6,74.3,0.005,0.014,0.019,0.1,4.9,3.0
01/01/2018,23:00,243,1.6,31.9,0.6,25.2,76.6,0.003,0.011,0.014,0.2,6.0,3.1
